Härtel, Hans-Joachim; |Abdosd-Tagung|27|2|(1986|400 - 400|https:/dx.doi.org/10.18447/BoZ-1986-1838|TAG|1838|2803
Seibt, Ferdinand; |Lexikon des Mittelalters. Erster Band, erste Lieferung: Aachen – Ägypten|20|1|(1979|295 - 297|https:/dx.doi.org/10.18447/BoZ-1979-1427|REZ|1427|2200
Jajeśniak-Quast, Dagmara; |Soziale und politische Konflikte der Stahlarbeiter von Nowa Huta während der sozialistischen Transformation|42|2|(2001)|244 - 268|https:/dx.doi.org/10.18447/BoZ-2001-728|ART|728|1036
Jajeśniak-Quast, Dagmara; |Soziale und politische Konflikte der Stahlarbeiter von Nowa Huta während der sozialistischen Transformation|42|2|(2001)|244 - 268|https:/dx.doi.org/10.18447/BoZ-2001-728|ABS|728|1037
Jajeśniak-Quast, Dagmara; |Soziale und politische Konflikte der Stahlarbeiter von Nowa Huta während der sozialistischen Transformation|42|2|(2001)|244 - 268|https:/dx.doi.org/10.18447/BoZ-2001-728|ABS|728|1038
Jajeśniak-Quast, Dagmara; |Soziale und politische Konflikte der Stahlarbeiter von Nowa Huta während der sozialistischen Transformation|42|2|(2001)|244 - 268|https:/dx.doi.org/10.18447/BoZ-2001-728|ABS|728|1039
Wlaschek, Rudolf M.; |Seide in Böhmen und ihre Industriebetriebe in Nordostböhmen|18|1|(1977|68 - 95|https:/dx.doi.org/10.18447/BoZ-1977-1139|ART|1139|1718
Wlaschek, Rudolf M.; |Seide in Böhmen und ihre Industriebetriebe in Nordostböhmen|18|1|(1977|68 - 95|https:/dx.doi.org/10.18447/BoZ-1977-1139|ABS|1139|1719
Wlaschek, Rudolf M.; |Seide in Böhmen und ihre Industriebetriebe in Nordostböhmen|18|1|(1977|68 - 95|https:/dx.doi.org/10.18447/BoZ-1977-1139|ABS|1139|1720
Luft, Robert; |Radzyner, Joanna: Stanislaw Madeyski, 1841–1910. Ein austro-polnischer Staatsmann im Spannungsfeld der Nationalitätenfrage in der Habsburgermonarchie|26|1|(1985|158 - 158|https:/dx.doi.org/10.18447/BoZ-1985-440|REZ|440|616
Županič, Jan; |Šlechticem z moci úřední. Udělování šlechtických titulů v českých zemích 1705-1780 [Adeliger von Amts wegen. Die Verleihung von Adelstiteln in den böhmischen Ländern 1705-1780]|56|2|(2016)|493 - 496|https:/dx.doi.org/10.18447/BoZ-2015-4203|REZ|4203|6211
Niedhammer, Martina; |Gaugusch, Georg: Wer einmal war. Das jüdische Großbürgertum Wiens 1800–1938. Bd. 1: A–K|53|1|(2013|205 - 207|https:/dx.doi.org/10.18447/BoZ-2013-3839|REZ|3839|5770
Loewenstein, Bedřich; |Hejdánek, Ladislav: Havel je uhlík. Filosof a politická odpovědnost [Havel ist Kohlenstoff. Der Philosoph und die politische Verantwortung]|50|2|(2010|446 - 447|https:/dx.doi.org/10.18447/BoZ-2010-3364|REZ|3364|5155
Vierbücher, Norbert; |Polen und die böhmischen Länder im 19. und 20. Jahrhundert. Jahrestagung des Collegium Carolinum|33|1|(1992)|161 - 164|https:/dx.doi.org/10.18447/BoZ-1992-3076|TAG|3076|4697
Hrubá, Michaela; |„Zur Ehre und zum Lob Gottes“. Die bürgerliche Frömmigkeit in der Zeit vor der Schlacht am Weissen Berg am Beispiel königlicher Städte Nordwestböhmens|48|1|(2008)|3 - 28|https:/dx.doi.org/10.18447/BoZ-2008-2665|ART|2665|4089
Hrubá, Michaela; |„Zur Ehre und zum Lob Gottes“. Die bürgerliche Frömmigkeit in der Zeit vor der Schlacht am Weissen Berg am Beispiel königlicher Städte Nordwestböhmens|48|1|(2008)|3 - 28|https:/dx.doi.org/10.18447/BoZ-2008-2665|ABS|2665|4090
Hrubá, Michaela; |„Zur Ehre und zum Lob Gottes“. Die bürgerliche Frömmigkeit in der Zeit vor der Schlacht am Weissen Berg am Beispiel königlicher Städte Nordwestböhmens|48|1|(2008)|3 - 28|https:/dx.doi.org/10.18447/BoZ-2008-2665|ABS|2665|4091
Hrubá, Michaela; |„Zur Ehre und zum Lob Gottes“. Die bürgerliche Frömmigkeit in der Zeit vor der Schlacht am Weissen Berg am Beispiel königlicher Städte Nordwestböhmens|48|1|(2008)|3 - 28|https:/dx.doi.org/10.18447/BoZ-2008-2665|ABS|2665|4092
Langer, Adalbert; |Dr. Otto Kühn (1894–1962), zugleich ein Stück Eingliederungsgeschichte|24|1|(1983|147 - 151|https:/dx.doi.org/10.18447/BoZ-1983-2377|PER|2377|3648
Janatková, Alena; |Vybíral, Jindřich: Století dědiců a zakladatelů: architektura jižních Čech v období historismu [Das Jahrhundert der Erben und der Gründer: die Architektur Südböhmens in der Epoche des Historismus]|42|1|(2001|164 - 165|https:/dx.doi.org/10.18447/BoZ-2001-1966|REZ|1966|2987
Schamschula, Walter; |Mácha, Karel Hyenck: „Die Liebe ging mit mir …“ Prosa, Poesie, Tagebücher. Ausgewählt von Natascha Drubek-Meyer. Mit einem Nachwort von Holt Meyer|44|1|(2003)|279 - 283|https:/dx.doi.org/10.18447/BoZ-2003-1678|REZ|1678|2543
Burger, Hannelore; |Der Verlust der Mehrsprachigkeit: Aspekte des mährischen Ausgleichs|34|1|(1993|77 - 89|https:/dx.doi.org/10.18447/BoZ-1993-1555|ART|1555|2371
Burger, Hannelore; |Der Verlust der Mehrsprachigkeit: Aspekte des mährischen Ausgleichs|34|1|(1993|77 - 89|https:/dx.doi.org/10.18447/BoZ-1993-1555|ABS|1555|2372
Burger, Hannelore; |Der Verlust der Mehrsprachigkeit: Aspekte des mährischen Ausgleichs|34|1|(1993|77 - 89|https:/dx.doi.org/10.18447/BoZ-1993-1555|ABS|1555|2373
Burger, Hannelore; |Der Verlust der Mehrsprachigkeit: Aspekte des mährischen Ausgleichs|34|1|(1993|77 - 89|https:/dx.doi.org/10.18447/BoZ-1993-1555|ABS|1555|2374
Jiroušek, Jan; |Glettler, Monika: Böhmisches Wien|28|2|(1987)|410 - 411|https:/dx.doi.org/10.18447/BoZ-1987-856|REZ|856|1263
Zückert, Martin; |Gebhart, Jan / Kuklík, Jan: Druhá republika 1938–1939. Svár demokracie a totality v politickém, společenském a kulturním životě [Die Zweite Republik 1938–1939. Die Auseinandersetzung zwischen Demokratie und Totalitarismus im politischen, gesellschaftlichen und kulturellen Leben]|46|1|(2005)|254 - 257|https:/dx.doi.org/10.18447/BoZ-2005-1267|REZ|1267|1933
Höhne, Steffen; |Kraus, Arnošt: Alte Geschichte Böhmens in der deutschen Literatur|41|2|(2000|454 - 454|https:/dx.doi.org/10.18447/BoZ-2000-568|REZ|568|801
Franzen, K. Erik; |Die Flüchtlingsfrage in der deutschen Nachkriegsgesellschaft. Hrsg. v. Thomas Grosser und Sylvia Schraut|40|1|(1999)|243 - 246|https:/dx.doi.org/10.18447/BoZ-1999-979|REZ|979|1464
Heumos, Peter; |Frankreich und die böhmischen Länder. Teil II: Politik, Wirtschaft, Parteien. Jahrestagung des Collegium Carolinum vom 20. bis 22. November 1987 in Bad Wiessee|29|1|(1988|173 - 176|https:/dx.doi.org/10.18447/BoZ-1988-280|TAG|280|397
Zückert, Martin; |Marek, Pavel / Šmíd, Marek: Arcibiskup František Kordač. Nástin života a díla apologety, pedagoga a politika [Erzbischof František Kordač. Überblick über Leben und Werk des Apologeten, Pädagogen und Politikers]|54|2|(2014|488 - 490|https:/dx.doi.org/10.18447/BoZ-2014-3967|REZ|3967|5964
Bachmann, Harald; |Kaiser, Friedhelm Berthold / Stasiewski, Bernhard (Hrsg.): Deutscher Einfluß auf Bildung und Wissenschaft im östlichen Europa|29|2|(1988|433 - 435|https:/dx.doi.org/10.18447/BoZ-1988-3615|REZ|3615|5553
Thomas, Alfred; |Beyond Representation: Freud, Lyotard and Inter-War Czech Cinema|32|1|(1991|14 - 22|https:/dx.doi.org/10.18447/BoZ-1991-3492|ART|3492|5356
Thomas, Alfred; |Beyond Representation: Freud, Lyotard and Inter-War Czech Cinema|32|1|(1991|14 - 22|https:/dx.doi.org/10.18447/BoZ-1991-3492|ABS|3492|5357
Thomas, Alfred; |Beyond Representation: Freud, Lyotard and Inter-War Czech Cinema|32|1|(1991|14 - 22|https:/dx.doi.org/10.18447/BoZ-1991-3492|ABS|3492|5358
Barnovský, Michal; |Die Slowakei nach dem Staatsstreich im Februar 1948|37|1|(1996)|120 - 139|https:/dx.doi.org/10.18447/BoZ-1996-3204|ART|3204|4912
Barnovský, Michal; |Die Slowakei nach dem Staatsstreich im Februar 1948|37|1|(1996)|120 - 139|https:/dx.doi.org/10.18447/BoZ-1996-3204|ABS|3204|4913
Barnovský, Michal; |Die Slowakei nach dem Staatsstreich im Februar 1948|37|1|(1996)|120 - 139|https:/dx.doi.org/10.18447/BoZ-1996-3204|ABS|3204|4914
Barnovský, Michal; |Die Slowakei nach dem Staatsstreich im Februar 1948|37|1|(1996)|120 - 139|https:/dx.doi.org/10.18447/BoZ-1996-3204|ABS|3204|4915
Heumos, Peter; |Die britische Labour Party und die sozialistischen Parteien Ostmitteleuropas 1944–1948|24|2|(1983|317 - 334|https:/dx.doi.org/10.18447/BoZ-1983-2916|ART|2916|4465
Heumos, Peter; |Die britische Labour Party und die sozialistischen Parteien Ostmitteleuropas 1944–1948|24|2|(1983|317 - 334|https:/dx.doi.org/10.18447/BoZ-1983-2916|ABS|2916|4466
Heumos, Peter; |Die britische Labour Party und die sozialistischen Parteien Ostmitteleuropas 1944–1948|24|2|(1983|317 - 334|https:/dx.doi.org/10.18447/BoZ-1983-2916|ABS|2916|4467
Herzogenberg, Johanna von; |Pařez, Jan / Kuchařová, Hedvika:  Hyberni v Praze. Dějiny františkánské koleje Neposkvrněného početí Panny Marie (1629–1786) [Die Hyberner in Prag. Die Geschichte des Franziskanerkollegs zur Unbefleckten Empfängnis Mariens (1629–1786)]|43|1|(2002|272 - 273|https:/dx.doi.org/10.18447/BoZ-2002-2793|REZ|2793|4292
Zwicker, Stefan; |'Blažek, Petr/Eichler, Patrik/Jareš, Jakub u.a. (Hgg.): Jan Palach ''69'|50|1|(2010)|244 - 246|https:/dx.doi.org/10.18447/BoZ-2010-2505|REZ|2505|3859
Fischer, Karl; |Die mathematischen, physikalischen und astronomischen Handschriften in den Bibliotheken der Slowakei|8|1|(1967|176 - 189|https:/dx.doi.org/10.18447/BoZ-1967-2094|ART|2094|3183
Fischer, Karl; |Die mathematischen, physikalischen und astronomischen Handschriften in den Bibliotheken der Slowakei|8|1|(1967|176 - 189|https:/dx.doi.org/10.18447/BoZ-1967-2094|ABS|2094|3184
Fischer, Karl; |Die mathematischen, physikalischen und astronomischen Handschriften in den Bibliotheken der Slowakei|8|1|(1967|176 - 189|https:/dx.doi.org/10.18447/BoZ-1967-2094|ABS|2094|3185
Seibt, Ferdinand; |Jan Hus in Rom|40|2|(1999|512 - 515|https:/dx.doi.org/10.18447/BoZ-1999-1806|TAG|1806|2744
Müller-Handl, Utta; |Hübler, Ursula: Meine Vertreibung aus Prag. Erinnerungen an den Prager Aufstand 1945 und seine Folgen. Hrsg. v. Juliane Wetzel|35|1|(1994|201 - 203|https:/dx.doi.org/10.18447/BoZ-1994-1395|REZ|1395|2150
Schmied, Erich; |Kincl, Jaromír und Kollektiv: Všeobecné dějiny státu a práva [Allgemeine Geschichte von Staat und Recht]|27|1|(1986|143 - 145|https:/dx.doi.org/10.18447/BoZ-1986-696|REZ|696|998
Brandes, Detlef; |Pesěk, Jan u.a. (Hgg.): Aktéri jednej éry na Slovensku 1948–1989. Personifikácia politického vývoja [Akteure einer Ära in der Slowakei 1948–1989. Personifizierung der politischen Entwicklung]|45|1|(2004|236 - 238|https:/dx.doi.org/10.18447/BoZ-2004-1107|REZ|1107|1680
Schamschula, Walter; |Razumovsky, Maria, Daria und Olga: Unser Abschied von der tschechischen Heimat. Tagebücher 1945–1946. Hrsg. von Maria Razumovsky|43|2|(2002|531 - 533|https:/dx.doi.org/10.18447/BoZ-2002-408|REZ|408|572
Kliems, Alfrun; |Petraško, Ľudovít: Aus naher Ferne. Slowakisch-deutsche (nicht nur) literarische Beziehungen|56|1|(2016|226 - 228|https:/dx.doi.org/10.18447/BoZ-2016-4171|REZ|4171|6143
Osterkamp, Jana; |Stourzh, Gerald: Der Umfang der österreichischen Geschichte. Ausgewählte Studien 1990–2010|52|2|(2012|406 - 409|https:/dx.doi.org/10.18447/BoZ-2012-3807|REZ|3807|5723
Herget, Toni; |'Bohumír Bunža: Le parti populaire tschécoslovaque [Die Tschechoslowakische Volkspartei]. (Centre International Démocrate Chrétien d''Information et de Documentation 12)'|15|1|(1974|483 - 485|https:/dx.doi.org/10.18447/BoZ-1974-3332|REZ|3332|5108
Gröber, Angela; |Nationale „Schutzvereine“ in Ostmitteleuropa 1870–1950|46|2|(2005|475 - 477|https:/dx.doi.org/10.18447/BoZ-2005-3044|TAG|3044|4650
Schieche, Emil; |Christian Callmer: Königin Christina, ihre Bibliothekare und ihre Handschriften. Beiträge zur europäischen Bibliotheksgeschichte |19|1|(1978|404 - 407|https:/dx.doi.org/10.18447/BoZ-1978-2633|REZ|2633|4057
Luft, Robert; |Deutsch-tschechische Schulbuchkonferenz|35|2|(1994)|460 - 461|https:/dx.doi.org/10.18447/BoZ-1994-2345|TAG|2345|3608
Weiser, Thomas; |Dokoupil, Lumír: Obyvatelstvo ostravské průmyslové oblasti do sčítání 1869 [Die Bevölkerung der Ostrauer Industrieregion bis zur Volkszählung 1869]|31|2|(1990)|407 - 408|https:/dx.doi.org/10.18447/BoZ-1990-2222|REZ|2222|3414
Prinz, Friedrich; |Diethild Harrington-Müller: Der Fortschrittsklub im Abgeordnetenhaus des österreichischen Reichsrats 1873–1910 |16|1|(1975|398 - 399|https:/dx.doi.org/10.18447/BoZ-1975-1934|REZ|1934|2940
Franzen, K. Erik; |„Deutsche Opfer – Opfer der Deutschen!?“ Anmerkungen zu Migrationsprozessen in Deutschland anhand ausgewählter Publikationen (Teil 2)|44|1|(2003)|183 - 191|https:/dx.doi.org/10.18447/BoZ-2003-1646|ART|1646|2508
Franzen, K. Erik; |„Deutsche Opfer – Opfer der Deutschen!?“ Anmerkungen zu Migrationsprozessen in Deutschland anhand ausgewählter Publikationen (Teil 2)|44|1|(2003)|183 - 191|https:/dx.doi.org/10.18447/BoZ-2003-1646|ABS|1646|2509
Franzen, K. Erik; |„Deutsche Opfer – Opfer der Deutschen!?“ Anmerkungen zu Migrationsprozessen in Deutschland anhand ausgewählter Publikationen (Teil 2)|44|1|(2003)|183 - 191|https:/dx.doi.org/10.18447/BoZ-2003-1646|ABS|1646|2510
Franzen, K. Erik; |„Deutsche Opfer – Opfer der Deutschen!?“ Anmerkungen zu Migrationsprozessen in Deutschland anhand ausgewählter Publikationen (Teil 2)|44|1|(2003)|183 - 191|https:/dx.doi.org/10.18447/BoZ-2003-1646|ABS|1646|2511
Huber, Kurt A.; |Řád cisterciáků v českých zemích ve středověku. Sborník vydaný k 850. výročí založení kláštera v Plasech [Der Zisterzienserorden in den böhmischen Ländern während des Mittelalters. Sammelband, herausgegeben zum 850jährigen Gedenken der Gründung des Klosters Plass]|37|2|(1996|444 - 446|https:/dx.doi.org/10.18447/BoZ-1996-1523|REZ|1523|2329
Demandt, Dieter; |Daske, Ulrich: Die Tschechoslowakische Hussitische Kirche in der deutschen theologischen Literatur und in Selbstzeugnissen|30|1|(1989|199 - 200|https:/dx.doi.org/10.18447/BoZ-1989-824|REZ|824|1192
Kulka, Otto Dov; |History and Historical Consciousness. Similarities and Dissimilarities in the History of the Jews in Germany and the Czech Lands 1918–1945|46|1|(2005)|68 - 86|https:/dx.doi.org/10.18447/BoZ-2005-1235|ART|1235|1880
Kulka, Otto Dov; |History and Historical Consciousness. Similarities and Dissimilarities in the History of the Jews in Germany and the Czech Lands 1918–1945|46|1|(2005)|68 - 86|https:/dx.doi.org/10.18447/BoZ-2005-1235|ABS|1235|1881
Kulka, Otto Dov; |History and Historical Consciousness. Similarities and Dissimilarities in the History of the Jews in Germany and the Czech Lands 1918–1945|46|1|(2005)|68 - 86|https:/dx.doi.org/10.18447/BoZ-2005-1235|ABS|1235|1882
Kulka, Otto Dov; |History and Historical Consciousness. Similarities and Dissimilarities in the History of the Jews in Germany and the Czech Lands 1918–1945|46|1|(2005)|68 - 86|https:/dx.doi.org/10.18447/BoZ-2005-1235|ABS|1235|1883
Cysarz, Herbert; |Eduard Winter u. Maria Winter: Der Bolzanokreis 1824–1833 in Briefen von Anna Hoffmann, Michael Josef Fesl, Franz Schneider und Franz Přihonský |11|1|(1970|453 - 456|https:/dx.doi.org/10.18447/BoZ-1970-536|REZ|536|748
Schamschula, Walter; |Měšťan, Antonín: Česká literatura mezi Němci a Slovany. Články a studie [Tschechische Literatur zwischen Deutschen und Slawen. Aufsätze und Studien]|44|2|(2003)|615 - 617|https:/dx.doi.org/10.18447/BoZ-2003-947|REZ|947|1402
Řezník, Miloš; |Lozoviuk, Petr: Grenzland als Lebenswelt. Grenzkonstruktionen, Grenzwahrnehmungen und Grenzdiskurse in sächsisch-tschechischer Perspektive|54|1|(2014)|230 - 233|https:/dx.doi.org/10.18447/BoZ-2014-3935|REZ|3935|5911
Schulze Wessel, Martin; |Bouček, Miroslav / Horáková, Aloisie / Pelkánová, Jaroslava / Šibrava, Karel: Praha v revolučních přeměnách 1945–1948 [Prag in den revolutionären Veränderungen 1945–1948]|31|1|(1990|200 - 201|https:/dx.doi.org/10.18447/BoZ-1990-3583|REZ|3583|5494
Franzen, K. Erik; |Bayerns vierter Stamm. Die Integration der Flüchtlinge und Heimatvertriebenen nach 1945. Hrsg. v. Rudolf Endres|41|1|(2000|230 - 232|https:/dx.doi.org/10.18447/BoZ-2000-3460|REZ|3460|5287
Höhne, Steffen; |Hroch, Miroslav: Das Europa der Nationen. Die moderne Nationsbildung im europäischen Vergleich. Aus dem Tschechischen von Eliška und Ralph Melville|47|2|(2007|448 - 450|https:/dx.doi.org/10.18447/BoZ-2007-3172|REZ|3172|4859
Pešek, Jiří; |Prag um 1600 als europäischer Sonderfall? Eine Polemik mit Leszek Belzyt|43|1|(2002|116 - 129|https:/dx.doi.org/10.18447/BoZ-2002-2761|ART|2761|4251
Pešek, Jiří; |Prag um 1600 als europäischer Sonderfall? Eine Polemik mit Leszek Belzyt|43|1|(2002|116 - 129|https:/dx.doi.org/10.18447/BoZ-2002-2761|ABS|2761|4252
Pešek, Jiří; |Prag um 1600 als europäischer Sonderfall? Eine Polemik mit Leszek Belzyt|43|1|(2002|116 - 129|https:/dx.doi.org/10.18447/BoZ-2002-2761|ABS|2761|4253
Pešek, Jiří; |Prag um 1600 als europäischer Sonderfall? Eine Polemik mit Leszek Belzyt|43|1|(2002|116 - 129|https:/dx.doi.org/10.18447/BoZ-2002-2761|ABS|2761|4254
Tóth, Ágnes; |Die Veränderung der Bevölkerungsstruktur in Südungarn (1945–1950)|50|1|(2010)|63 - 94|https:/dx.doi.org/10.18447/BoZ-2010-2473|ART|2473|3815
Tóth, Ágnes; |Die Veränderung der Bevölkerungsstruktur in Südungarn (1945–1950)|50|1|(2010)|63 - 94|https:/dx.doi.org/10.18447/BoZ-2010-2473|ABS|2473|3816
Tóth, Ágnes; |Die Veränderung der Bevölkerungsstruktur in Südungarn (1945–1950)|50|1|(2010)|63 - 94|https:/dx.doi.org/10.18447/BoZ-2010-2473|ABS|2473|3817
Tóth, Ágnes; |Die Veränderung der Bevölkerungsstruktur in Südungarn (1945–1950)|50|1|(2010)|63 - 94|https:/dx.doi.org/10.18447/BoZ-2010-2473|ABS|2473|3818
Doskocil, Walter; |Ernst Hoyer – Leben und Werk|17|1|(1976|332 - 341|https:/dx.doi.org/10.18447/BoZ-1976-2062|PER|2062|3135
Benz, Wolfgang; |Gruner, Wolf/Osterloh, Jörg (Hgg.): Das „Großdeutsche Reich“ und die Juden. Nationalsozialistische Verfolgung in den „angegliederten“ Gebieten|51|1|(2011)|291 - 293|https:/dx.doi.org/10.18447/BoZ-2011-1774|REZ|1774|2688
Loewenstein, Bedrich; |Die Zunft der Historiker und ihr Heimatmuseum|35|1|(1994|122 - 125|https:/dx.doi.org/10.18447/BoZ-1994-1363|ART|1363|2118
Eberhard, Winfried; |Bahlcke, Joachim: Regionalismus und Staatsintegration im Widerstreit. Die Länder der Böhmischen Krone im ersten Jahrhundert der Habsburgerherrschaft (1526–1619)|36|2|(1995|464 - 467|https:/dx.doi.org/10.18447/BoZ-1995-664|REZ|664|954
Funk-Nešić, Viktoria; |Galmiche, Xavier: Vladimír Holan. Le Bibliothécaire de Dieu. Prague 1905–1980|49|2|(2009)|543 - 545|https:/dx.doi.org/10.18447/BoZ-2009-1075|REZ|1075|1621
Schevardo, Jennifer; |,Normalisierung‘. Politische, soziale und kulturelle Hintergründe eines ,realsozialistischen‘ Paradigmas|43|2|(2002|460 - 464|https:/dx.doi.org/10.18447/BoZ-2002-376|TAG|376|540
Brehmer, Judith; |Domnitz, Christian: Hinwendung nach Europa.Öffentlichkeitswandel im Staatssozialismus 1975-1989|55|2|(2015|458 - 460|https:/dx.doi.org/10.18447/BoZ-2015-4139|REZ|4139|6090
Deme, Katalin; |Blaive, Muriel / Gerbel, Christian  /Lindenberger, Thomas (eds.): Clashes in European Memory. Communist Repression and the Holocaust|52|1|(2012)|204 - 206|https:/dx.doi.org/10.18447/BoZ-2012-3775|REZ|3775|5676
N., N.; |Schriftenverzeichnis Heribert Sturm|15|1|(1974|10 - 18|https:/dx.doi.org/10.18447/BoZ-1974-3300|PER|3300|5041
Kyncl, Vojtěch; |Zahra, Tara: Kidnapped Souls. National Indifference and the Battle for Children in the Bohemian Lands, 1900–1948|49|1|(2009|236 - 238|https:/dx.doi.org/10.18447/BoZ-2009-3012|REZ|3012|4603
Roeser, Matthias; |Bilanz der Forschung zu den tschechisch-deutschen Beziehungen und der Deutschlandstudien in der ČR|38|1|(1997|188 - 192|https:/dx.doi.org/10.18447/BoZ-1997-2889|TAG|2889|4430
Wickert, Christl; |Schwertfeger, Ruth: Women of Theresienstadt. Voices from a Concentration Camp|33|2|(1992)|456 - 457|https:/dx.doi.org/10.18447/BoZ-1992-2601|REZ|2601|4003
Habel, Fritz Peter; |Piotr S. Wandycz: France and her Eastern Allies 1919–1925. French-Czechoslovak-Polish relations from the Paris Peace Conference to Locarno|6|1|(1965|495 - 498|https:/dx.doi.org/10.18447/BoZ-1965-2313|REZ|2313|3565
Hahn, Eva; |Hrubý, Karel (Hrsg.): Léta mimo domov. K historii československé sociální demokracie v exilu [Jahre außerhalb der Heimat. Zur Geschichte der tschechoslowakischen Sozialdemokratie im Exil]|39|2|(1998|473 - 474|https:/dx.doi.org/10.18447/BoZ-1998-2190|REZ|2190|3349
Schmied, Erich; |Alfred Schickel: Die reichsdeutsche Tschechen- und Ostpolitik im Spiegel amerikanischer Diplomatenberichte aus den Jahren 1937 bis 1939. Beiträge zur deutschen Zeitgeschichte|25|1|(1984|175 - 176|https:/dx.doi.org/10.18447/BoZ-1984-1902|REZ|1902|2882
Bachmann, Harald; |Karl Sedlmeyer: Landeskunde der Tschecho-Slowakei|22|2|(1981|493 - 494|https:/dx.doi.org/10.18447/BoZ-1981-1614|REZ|1614|2441
Kaplan, Karel; |Jiří Kosta: Abriß der sozialökonomischen Entwicklung der Tschechoslowakei|20|1|(1979|434 - 435|https:/dx.doi.org/10.18447/BoZ-1979-1491|REZ|1491|2264
Beinhardt, Karl; |Päpstliches Interdikt und Verhängung des Kirchenbanns über Straubing|30|1|(1989|103 - 105|https:/dx.doi.org/10.18447/BoZ-1989-792|ART|792|1148
Beinhardt, Karl; |Päpstliches Interdikt und Verhängung des Kirchenbanns über Straubing|30|1|(1989|103 - 105|https:/dx.doi.org/10.18447/BoZ-1989-792|ABS|792|1149
Beinhardt, Karl; |Päpstliches Interdikt und Verhängung des Kirchenbanns über Straubing|30|1|(1989|103 - 105|https:/dx.doi.org/10.18447/BoZ-1989-792|ABS|792|1150
Beinhardt, Karl; |Päpstliches Interdikt und Verhängung des Kirchenbanns über Straubing|30|1|(1989|103 - 105|https:/dx.doi.org/10.18447/BoZ-1989-792|ABS|792|1151
Nodl, Martin; |Die Hussitische Revolution. Zur Genese eines Forschungsparadigmas in der tschechischen Historiografie der 1950er und 1960er Jahre|47|1|(2007|151 - 171|https:/dx.doi.org/10.18447/BoZ-2007-1203|ART|1203|1827
Nodl, Martin; |Die Hussitische Revolution. Zur Genese eines Forschungsparadigmas in der tschechischen Historiografie der 1950er und 1960er Jahre|47|1|(2007|151 - 171|https:/dx.doi.org/10.18447/BoZ-2007-1203|ABS|1203|1828
Nodl, Martin; |Die Hussitische Revolution. Zur Genese eines Forschungsparadigmas in der tschechischen Historiografie der 1950er und 1960er Jahre|47|1|(2007|151 - 171|https:/dx.doi.org/10.18447/BoZ-2007-1203|ABS|1203|1829
Nodl, Martin; |Die Hussitische Revolution. Zur Genese eines Forschungsparadigmas in der tschechischen Historiografie der 1950er und 1960er Jahre|47|1|(2007|151 - 171|https:/dx.doi.org/10.18447/BoZ-2007-1203|ABS|1203|1830
